Novak Djokovic;Wimbledon;Round of 32;Ernests Gulbis;589;W;64 61 762
Novak Djokovic;Wimbledon;Round of 64;Adam Pavlasek;136;W;62 62 61
Novak Djokovic;Wimbledon;Round of 128;Martin Klizan;47;W;63 20 (RET)
Novak Djokovic;Eastbourne;Finals;Gael Monfils;16;W;63 64
Novak Djokovic;Eastbourne;Semi-Finals;Daniil Medvedev;52;W;64 64
Novak Djokovic;Eastbourne;Quarter-Finals;Donald Young;47;W;62 769
Novak Djokovic;Eastbourne;Round of 16;Vasek Pospisil;75;W;64 63
Novak Djokovic;Eastbourne;Round of 32;Bye;;;
Novak Djokovic;Roland Garros;Quarter-Finals;Dominic Thiem;7;L;675 36 06
Novak Djokovic;Roland Garros;Round of 16;Albert Ramos-Vinolas;20;W;765 61 63
Novak Djokovic;Roland Garros;Round of 32;Diego Schwartzman;41;W;57 63 36 61 61
Novak Djokovic;Roland Garros;Round of 64;Joao Sousa;59;W;61 64 63
Novak Djokovic;Roland Garros;Round of 128;Marcel Granollers;77;W;63 64 62
Novak Djokovic;ATP Masters 1000 Rome;Finals;Alexander Zverev;17;L;46 36
Novak Djokovic;ATP Masters 1000 Rome;Semi-Finals;Dominic Thiem;7;W;61 60
Novak Djokovic;ATP Masters 1000 Rome;Quarter-Finals;Juan Martin del Potro;34;W;61 64
Novak Djokovic;ATP Masters 1000 Rome;Round of 16;Roberto Bautista Agut;20;W;64 64
Novak Djokovic;ATP Masters 1000 Rome;Round of 32;Aljaz Bedene;55;W;762 62
Novak Djokovic;ATP Masters 1000 Rome;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Madrid;Semi-Finals;Rafael Nadal;5;L;26 46
Novak Djokovic;ATP Masters 1000 Madrid;Quarter-Finals;Kei Nishikori;8;W;(W/O)
Novak Djokovic;ATP Masters 1000 Madrid;Round of 16;Feliciano Lopez;38;W;64 75
Novak Djokovic;ATP Masters 1000 Madrid;Round of 32;Nicolas Almagro;76;W;61 46 75
Novak Djokovic;ATP Masters 1000 Madrid;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Monte Carlo;Quarter-Finals;David Goffin;13;L;26 63 57
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 16;Pablo Carreno Busta;19;W;62 46 64
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 32;Gilles Simon;32;W;63 36 75
Novak Djokovic;ATP Masters 1000 Monte Carlo;Round of 64;Bye;;;
Novak Djokovic;SRB  vs. ESP WG QF;Round Robin;Albert Ramos-Vinolas;24;W;63 64 62
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 16;Nick Kyrgios;16;L;46 673
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 32;Juan Martin del Potro;35;W;75 46 61
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 64;Kyle Edmund;46;W;64 765
Novak Djokovic;ATP Masters 1000 Indian Wells;Round of 128;Bye;;;
Novak Djokovic;Acapulco;Quarter-Finals;Nick Kyrgios;17;L;679 57
Novak Djokovic;Acapulco;Round of 16;Juan Martin del Potro;32;W;46 64 64
Novak Djokovic;Acapulco;Round of 32;Martin Klizan;62;W;63 764
Novak Djokovic;SRB vs. RUS WG 1st RD;Round Robin;Daniil Medvedev;63;W;36 64 61 10 (RET)
Novak Djokovic;Australian Open;Round of 64;Denis Istomin;117;L;678 75 62 675 46
Novak Djokovic;Australian Open;Round of 128;Fernando Verdasco;40;W;61 764 62
Novak Djokovic;Doha;Finals;Andy Murray;1;W;63 57 64
Novak Djokovic;Doha;Semi-Finals;Fernando Verdasco;42;W;46 767 63
Novak Djokovic;Doha;Quarter-Finals;Radek Stepanek;107;W;63 63
Novak Djokovic;Doha;Round of 16;Horacio Zeballos;71;W;63 64
Novak Djokovic;Doha;Round of 32;Jan-Lennard Struff;63;W;761 63
Novak Djokovic;ATP Finals;Finals;Andy Murray;1;L;36 46
Novak Djokovic;ATP Finals;Semi-Finals;Kei Nishikori;5;W;61 61
Novak Djokovic;ATP Finals;Round Robin;David Goffin;11;W;61 62
Novak Djokovic;ATP Finals;Round Robin;Milos Raonic;4;W;766 765
Novak Djokovic;ATP Finals;Round Robin;Dominic Thiem;9;W;6710 60 62
Novak Djokovic;ATP Masters 1000 Paris;Quarter-Finals;Marin Cilic;10;L;46 672
Novak Djokovic;ATP Masters 1000 Paris;Round of 16;Grigor Dimitrov;18;W;46 62 63
Novak Djokovic;ATP Masters 1000 Paris;Round of 32;Gilles Muller;34;W;63 64
Novak Djokovic;ATP Masters 1000 Paris;Round of 64;Bye;;;
Novak Djokovic;ATP Masters 1000 Shanghai;Semi-Finals;Roberto Bautista Agut;19;L;46 46
Novak Djokovic;ATP Masters 1000 Shanghai;Quarter-Finals;Mischa Zverev;110;W;36 764 63
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 16;Vasek Pospisil;131;W;64 64
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 32;Fabio Fognini;50;W;63 63
Novak Djokovic;ATP Masters 1000 Shanghai;Round of 64;Bye;;;
Novak Djokovic;US Open;Finals;Stan Wawrinka;3;L;761 46 57 36
Novak Djokovic;US Open;Semi-Finals;Gael Monfils;12;W;63 62 36 62
Novak Djokovic;US Open;Quarter-Finals;Jo-Wilfried Tsonga;11;W;63 62 (RET)
Novak Djokovic;US Open;Round of 16;Kyle Edmund;84;W;62 61 64
Novak Djokovic;US Open;Round of 32;Mikhail Youzhny;61;W;42 (RET)
Novak Djokovic;US Open;Round of 64;Jiri Vesely;49;W;(W/O)
Novak Djokovic;US Open;Round of 128;Jerzy Janowicz;247;W;63 57 62 61
Novak Djokovic;Rio de Janeiro Olympic Games;Round of 64;Juan Martin del Potro;141;L;674 672
Novak Djokovic;ATP Masters 1000 Canada;Finals;Kei Nishikori;6;W;63 75
Novak Djokovic;ATP Masters 1000 Canada;Semi-Finals;Gael Monfils;14;W;63 62
Novak Djokovic;ATP Masters 1000 Canada;Quarter-Finals;Tomas Berdych;8;W;766 64
Novak Djokovic;ATP Masters 1000 Canada;Round of 16;Radek Stepanek;129;W;62 64
Novak Djokovic;ATP Masters 1000 Canada;Round of 32;Gilles Muller;37;W;75 763
Novak Djokovic;ATP Masters 1000 Canada;Round of 64;Bye;;;
